genreid, genretype
1,"Drama"
2,"Crime, Drama"
3,"Action, Crime, Drama"
4,"Biography, Drama, History"
5,"Adventure, Drama, Fantasy"
6,"Drama, Romance"
7,"Action, Adventure, Sci-Fi"
8,"Action, Sci-Fi"
9,"Crime, Drama, Thriller"
10,"Crime, Drama, Fantasy"
11,"Biography, Crime, Drama"
12,"Animation, Adventure, Drama"
13,"Drama, Mystery, Sci-Fi"
14,"Drama, Mystery, Thriller"
15,"Animation, Adventure, Fantasy"
16,"Action, Adventure, Fantasy"
17,"Action, Crime, Thriller"
18,"Drama, War"
19,"Action, Adventure, Mystery"
20,"Drama, Fantasy"
21,"Biography, Drama, Music"
22,"Biography, Drama, Sport"
23,"Action, Drama, Thriller"
24,"Comedy, Drama"
25,"Drama, Horror, Mystery"
26,"Drama, Music"
27,"Drama, Thriller"
28,"Comedy, Crime, Drama"
29,"Comedy, Drama, Romance"
30,"Action, Adventure, Drama"
31,"Biography, Comedy, Drama"
32,"Drama, Fantasy, Horror"
33,"Drama, Mystery"
34,"Drama, History"
35,"Drama, Family"
36,"Drama, Sport"
37,"Drama, Mystery, Romance"
38,"Drama, Mystery, Music"
39,"Biography, Drama, Romance"
40,"Biography, Crime, Thriller"
41,"Adventure, Drama, Sci-Fi"
42,"Action, Adventure, Comedy"
43,"Drama, Horror"
44,"Drama, Mystery, War"
45,"Action, Biography, Drama"
46,"Action, Adventure, History"
47,"Action, Drama, History"
48,"Drama, Mystery, History"
49,"Drama, Family, Fantasy"
50,"Biography, Drama, Thriller"
