id, name
5,Cate Blanchett
6,Robert De Niro
7,Viola Davis
8,Leonardo DiCaprio
9,Kate Winslet
10,Morgan Freeman
11,Nicole Kidman
12,Joaquin Phoenix
13,Natalie Portman
14,Brad Pitt
15,Julianne Moore
16,Daniel Day-Lewis
17,Charlize Theron
18,Anthony Hopkins
19,Emma Stone
20,Al Pacino
21,Saoirse Ronan
22,Christian Bale
23,Amy Adams
24,Gary Oldman
25,Frances McDormand
28,Sean Penn
29,Jessica Chastain
31,Marion Cotillard
32,Jeff Bridges
33,Emily Blunt
34,Russell Crowe
35,Jennifer Lawrence
38,Ryan Gosling
39,Helen Mirren
40,Matthew McConaughey
41,Rachel Weisz
42,Tom Cruise
43,Michelle Williams
45,Glenn Close
46,Eddie Redmayne
47,Brie Larson
48,George Clooney
49,Carey Mulligan
50,Benicio Del Toro
51,Anne Hathaway
53,Judi Dench
54,Chiwetel Ejiofor
55,Sandra Bullock
56,Colin Firth
57,Keira Knightley
58,Idris Elba
60,Johnny Depp
61,Naomi Watts
62,Robert Pattinson
63,Kristen Stewart
64,Angelina Jolie
65,Rami Malek
66,Greta Gerwig
67,Timothée Chalamet
69,Adam Driver
70,Margot Robbie
71,Philip Seymour Hoffman
72,Sigourney Weaver
73,Jake Gyllenhaal
74,Rooney Mara
75,Forest Whitaker
76,Pedro Almodóvar
77,Willem Dafoe
78,Elisabeth Moss
79,Annette Bening
80,Jeremy Renner
81,Laura Dern
82,Samuel L. Jackson
83,Sally Hawkins
84,Richard Jenkins
85,Melissa McCarthy
86,Mark Ruffalo
87,Jennifer Connelly
89,Penélope Cruz
90,Robert Downey Jr.
91,Chris Hemsworth
92,Scarlett Johansson
93,Elizabeth Olsen
94,Tom Hiddleston
95,Chadwick Boseman
96,Chris Evans
97,Zoe Saldana
98,Benedict Cumberbatch
99,Paul Rudd
100,Evangeline Lilly
101,Michael B. Jordan
102,Lupita Nyong'o
103,Danai Gurira
104,Letitia Wright
105,Angela Bassett
106,Andy Serkis
107,Martin Freeman
108,Daniel Kaluuya
109,Winston Duke
111,Florence Kasumba
112,John Kani
113,David Oyelowo
114,Oprah Winfrey
115,Reese Witherspoon
116,Mindy Kaling
117,Gugu Mbatha-Raw
118,Chris Pine
119,Zac Efron
120,Zendaya
121,Hugh Jackman
122,James McAvoy
123,Michael Fassbender
125,Halle Berry
127,Patrick Stewart
128,Ellen Page
129,Kelsey Grammer
130,Nicholas Hoult
131,Anna Paquin
132,Shawn Ashmore
133,Peter Dinklage
134,Omar Sy
135,Evan Peters
136,Josh Helman
137,Fan Bingbing
138,Booboo Stewart
139,Adan Canto
140,Daniel Cudmore
141,Bingbing Li
142,Waris Ahluwalia
143,F. Murray Abraham
144,Mathieu Amalric
145,Adrien Brody
